,team_1_Date,team_1_name,team_1_total_goals,team_1_half_time_goals,team_1_shots,team_1_shots_on_target,team_1_fouls,team_1_corners,team_1_yellows,team_1_reds,team_1_home_result,team_1_total_goals_per_match,team_1_half_time_goals_per_match,team_1_shots_per_match,team_1_shots_on_target_per_match,team_1_fouls_per_match,team_1_corners_per_match,team_1_yellows_per_match,team_1_reds_per_match,team_2_Date,team_2_name,team_2_total_goals,team_2_half_time_goals,team_2_shots,team_2_shots_on_target,team_2_fouls,team_2_corners,team_2_yellows,team_2_reds,team_2_away_result,team_2_total_goals_per_match,team_2_half_time_goals_per_match,team_2_shots_per_match,team_2_shots_on_target_per_match,team_2_fouls_per_match,team_2_corners_per_match,team_2_yellows_per_match,team_2_reds_per_match,total_goals_per_match_diff,half_time_goals_per_match_diff,shots_per_match_diff,shots_on_target_per_match_diff,fouls_per_match_diff,corners_per_match_diff,yellows_per_match_diff,reds_per_match_diff,total_game_goals
0,8/5/2022,Crystal Palace,0,0,10,2,16,3,1,0,1,1.0,0.666666667,8.333333333,2.666666667,11.66666667,2.666666667,1.333333333,0.0,8/5/2022,Arsenal,2,1,10,2,11,5,2,0,W,2.0,0.666666667,18.0,6.333333333,9.0,8.0,2.0,0.0,-1.0,0.0,-9.666666667,-3.666666666,2.66666667,-5.333333333000001,-0.6666666670000001,0.0,2
1,8/6/2022,Fulham,2,1,9,3,7,4,2,0,2,1.666666667,0.333333333,10.0,3.0,9.333333333,3.0,2.333333333,0.0,8/6/2022,Liverpool,2,0,11,4,9,4,0,0,D,4.333333333,1.666666667,17.66666667,7.333333333,8.0,8.333333333,0.0,0.0,-2.666666666,-1.3333333340000002,-7.6666666700000015,-4.333333333,1.3333333330000006,-5.333333333000001,2.333333333,0.0,4
2,8/6/2022,Bournemouth,2,1,7,3,18,5,3,0,0,0.666666667,0.333333333,5.666666667,2.333333333,11.66666667,2.666666667,2.0,0.0,8/6/2022,Aston Villa,0,0,15,2,16,5,3,0,L,0.333333333,0.0,9.333333333,2.666666667,13.33333333,3.666666667,2.666666667,0.0,0.333333334,0.333333333,-3.666666666,-0.3333333339999997,-1.6666666600000006,-1.0,-0.6666666669999999,0.0,2
3,8/6/2022,Leeds,2,1,12,4,13,6,2,0,0,1.0,0.333333333,12.0,3.666666667,12.33333333,6.333333333,2.666666667,0.0,8/6/2022,Wolves,1,1,15,6,9,4,0,0,L,0.666666667,0.666666667,14.0,4.666666667,10.33333333,4.333333333,1.0,0.0,0.333333333,-0.333333334,-2.0,-1.0000000000000004,2.0,2.0,1.666666667,0.0,3
4,8/6/2022,Newcastle,2,0,23,10,9,11,0,0,0,1.333333333,0.333333333,16.33333333,6.0,10.0,8.0,1.0,0.0,8/6/2022,Nott'm Forest,0,0,5,0,14,1,3,0,L,0.0,0.0,10.0,0.666666667,10.66666667,2.666666667,3.333333333,0.0,1.333333333,0.333333333,6.333333329999999,5.333333333,-0.6666666699999997,5.333333333000001,-2.333333333,0.0,2
5,8/6/2022,Tottenham,4,2,18,8,11,10,3,0,0,2.333333333,1.333333333,16.33333333,6.333333333,11.0,5.0,3.0,0.0,8/6/2022,Southampton,1,1,10,2,6,2,0,0,L,1.0,1.0,12.0,4.666666667,8.333333333,4.0,0.666666667,0.0,1.333333333,0.3333333329999999,4.333333329999999,1.6666666659999994,2.6666666669999994,1.0,2.333333333,0.0,5
6,8/6/2022,Everton,0,0,8,4,14,4,3,0,1,0.666666667,0.666666667,9.666666667,4.333333333,10.33333333,3.666666667,2.666666667,0.0,8/6/2022,Chelsea,1,1,15,6,11,16,2,0,W,1.333333333,0.666666667,10.66666667,4.333333333,10.33333333,7.333333333,1.333333333,0.333333333,-0.6666666659999999,0.0,-1.0000000030000002,0.0,0.0,-3.666666666,1.333333334,-0.333333333,1
7,8/7/2022,Leicester,2,1,14,5,6,5,0,0,2,1.333333333,0.333333333,12.33333333,3.666666667,8.0,6.0,1.333333333,0.0,8/7/2022,Brentford,2,0,8,3,5,6,0,0,D,1.333333333,0.0,12.0,3.666666667,7.0,6.666666667,1.333333333,0.0,0.0,0.333333333,0.3333333300000003,0.0,1.0,-0.6666666670000003,0.0,0.0,4
8,8/7/2022,Man United,1,0,17,5,7,6,4,0,1,1.333333333,0.333333333,13.33333333,5.0,10.66666667,5.0,3.333333333,0.0,8/7/2022,Brighton,2,2,15,4,12,2,1,0,W,1.333333333,0.666666667,11.66666667,4.0,11.0,3.333333333,1.333333333,0.0,0.0,-0.333333334,1.6666666600000006,1.0,-0.3333333300000003,1.666666667,2.0,0.0,3
9,8/7/2022,West Ham,0,0,6,1,8,1,0,0,1,0.666666667,0.0,9.0,2.333333333,9.333333333,2.0,0.666666667,0.0,8/7/2022,Man City,2,1,14,2,4,4,1,0,W,4.0,1.333333333,16.33333333,5.333333333,9.0,6.666666667,0.666666667,0.0,-3.333333333,-1.333333333,-7.3333333299999985,-3.0,0.3333333330000005,-4.666666667,0.0,0.0,2
10,8/13/2022,Aston Villa,2,1,12,4,9,5,4,0,0,2.0,1.0,13.33333333,4.333333333,10.33333333,5.666666667,1.666666667,0.0,8/13/2022,Everton,1,0,15,4,7,8,1,0,L,0.666666667,0.0,11.66666667,4.333333333,10.66666667,5.333333333,2.333333333,0.0,1.333333333,1.0,1.6666666600000006,0.0,-0.3333333399999993,0.3333333340000006,-0.666666666,0.0,3
11,8/13/2022,Arsenal,4,2,19,7,15,6,1,0,0,2.666666667,1.333333333,16.33333333,5.0,9.333333333,5.333333333,0.666666667,0.0,8/13/2022,Leicester,2,0,6,2,9,2,1,0,L,2.0,1.0,5.333333333,2.333333333,11.0,1.666666667,1.0,0.0,0.6666666669999999,0.3333333329999999,10.999999997,2.666666667,-1.6666666669999994,3.666666666,-0.333333333,0.0,6
