,team_1_Date,team_1_name,team_1_total_goals,team_1_half_time_goals,team_1_shots,team_1_shots_on_target,team_1_fouls,team_1_corners,team_1_yellows,team_1_reds,team_1_home_result,team_1_total_goals_per_match,team_1_half_time_goals_per_match,team_1_shots_per_match,team_1_shots_on_target_per_match,team_1_fouls_per_match,team_1_corners_per_match,team_1_yellows_per_match,team_1_reds_per_match,team_2_Date,team_2_name,team_2_total_goals,team_2_half_time_goals,team_2_shots,team_2_shots_on_target,team_2_fouls,team_2_corners,team_2_yellows,team_2_reds,team_2_away_result,team_2_total_goals_per_match,team_2_half_time_goals_per_match,team_2_shots_per_match,team_2_shots_on_target_per_match,team_2_fouls_per_match,team_2_corners_per_match,team_2_yellows_per_match,team_2_reds_per_match
0,8/5/2022,Crystal Palace,0,0,10,2,16,3,1,0,L,1.4,0.8,9.8,4,11.8,2.8,2,0,8/5/2022,Arsenal,2,1,10,2,11,5,2,0,W,2.6,1.2,17.4,6.4,10.4,6.8,1.6,0
1,8/6/2022,Fulham,2,1,9,3,7,4,2,0,D,1.6,0.6,11.4,4.2,11,3.6,2.6,0,8/6/2022,Liverpool,2,0,11,4,9,4,0,0,D,3,1,18.8,6.2,7.6,7.4,0.6,0.2
2,8/6/2022,Bournemouth,2,1,7,3,18,5,3,0,W,0.4,0.2,5.2,1.8,11.2,2.4,2.2,0,8/6/2022,Aston Villa,0,0,15,2,16,5,3,0,L,0.8,0.4,10.6,3.4,12.6,3.6,2.6,0
3,8/6/2022,Leeds,2,1,12,4,13,6,2,0,W,1.6,0.6,12.2,4.4,13,5.6,2.2,0,8/6/2022,Wolves,1,1,15,6,9,4,0,0,L,0.4,0.4,13.8,3.6,9.2,4.8,1.6,0
4,8/6/2022,Newcastle,2,0,23,10,9,11,0,0,W,1.4,0.6,13,5,10,6.4,2,0,8/6/2022,Nott'm Forest,0,0,5,0,14,1,3,0,L,0.4,0.2,11.4,2.6,10.2,3.2,3.2,0
5,8/6/2022,Tottenham,4,2,18,8,11,10,3,0,W,2,0.8,14,5.6,10.4,5.6,2.2,0,8/6/2022,Southampton,1,1,10,2,6,2,0,0,L,1.4,0.6,11.8,4.2,10,3.8,1.2,0
6,8/6/2022,Everton,0,0,8,4,14,4,3,0,L,0.8,0.4,12.6,5,8.8,5,2.4,0,8/6/2022,Chelsea,1,1,15,6,11,16,2,0,W,1.2,0.6,12.4,3.8,11,7.2,1.6,0.4
7,8/7/2022,Leicester,2,1,14,5,6,5,0,0,D,2,0.8,10.4,3.6,8.6,4.6,1.4,0,8/7/2022,Brentford,2,0,8,3,5,6,0,0,D,2,1,12.4,4.6,6.8,6.2,1.2,0
8,8/7/2022,Man United,1,0,17,5,7,6,4,0,L,1.2,0.2,15.8,5.2,10.8,4.6,3,0,8/7/2022,Brighton,2,2,15,4,12,2,1,0,W,1.2,0.6,11.8,4.2,9.6,4.2,1.2,0
9,8/7/2022,West Ham,0,0,6,1,8,1,0,0,L,0.4,0,11.8,3,9.8,3.6,1,0,8/7/2022,Man City,2,1,14,2,4,4,1,0,W,3.8,1.6,17.8,6.6,8.6,7.2,0.8,0
10,8/13/2022,Aston Villa,2,1,12,4,9,5,4,0,W,1.8,1,10.6,4,11.6,4.6,1.8,0,8/13/2022,Everton,1,0,15,4,7,8,1,0,L,0.6,0,13,4.8,10.4,5.4,2.2,0
11,8/13/2022,Arsenal,4,2,19,7,15,6,1,0,W,2.6,1,15.8,4.4,8.2,6.6,0.8,0,8/13/2022,Leicester,2,0,6,2,9,2,1,0,L,2,1.2,10,3.4,11.2,2.4,2,0
12,8/13/2022,Brighton,0,0,13,7,8,7,2,0,D,0.8,0,16,6.4,10.4,7.4,1.8,0,8/13/2022,Newcastle,0,0,4,1,6,3,3,0,D,0.4,0.4,11.4,3.8,8.6,5.6,2.4,0.2
13,8/13/2022,Man City,4,3,19,7,9,11,0,0,W,2.4,1.6,17.8,5.8,10.6,7.2,1.6,0,8/13/2022,Bournemouth,0,0,3,1,9,1,3,0,L,0.6,0.2,8.8,2.2,8.8,2.8,2.2,0
14,8/13/2022,Southampton,2,0,14,4,10,2,1,0,D,0.8,0.4,12.2,3.8,13.6,3,3,0,8/13/2022,Leeds,2,0,13,5,12,5,3,0,D,1,0.2,10.6,3,11.6,5,2.6,0
15,8/13/2022,Wolves,0,0,7,1,7,5,3,0,D,0.8,0.6,9.2,2.8,11.8,4.8,2,0,8/13/2022,Fulham,0,0,9,3,14,3,3,0,D,0.8,0.2,10,3.4,12.2,3.2,2.8,0
16,8/13/2022,Brentford,4,4,13,7,6,8,0,0,W,2.2,1.6,11.4,4.8,8,3.8,1,0,8/13/2022,Man United,0,0,15,4,15,2,4,0,L,1.8,0.4,18,5.8,10.6,4.4,1.4,0.2
17,8/14/2022,Nott'm Forest,1,1,13,6,10,6,4,0,W,0.6,0.4,8.2,2.6,9.8,2.6,2,0,8/14/2022,West Ham,0,0,19,5,11,7,1,0,L,1.2,0.4,12.6,2.8,10.2,6.6,0.8,0
18,8/14/2022,Chelsea,2,1,16,3,9,8,3,0,D,0.6,0.4,13.4,3.4,12.4,6.4,2.2,0,8/14/2022,Tottenham,2,0,10,5,9,5,0,0,D,1.6,0.4,11.4,4.2,12.6,4.4,1.6,0.2
19,8/15/2022,Liverpool,1,0,24,4,7,4,2,1,D,1,0.4,17.2,5,9.8,5.2,2.2,0.2,8/15/2022,Crystal Palace,1,1,7,3,8,2,4,0,D,0.8,0.2,7.8,2.2,9.2,3.8,2.8,0
20,8/20/2022,Tottenham,1,0,11,4,10,8,2,0,W,1.6,0.2,11.4,4.2,12.8,5,1.6,0.2,8/20/2022,Wolves,0,0,20,3,8,6,2,0,L,0.8,0.6,10.2,2.6,11,3.6,1.8,0
21,8/20/2022,Crystal Palace,3,1,17,9,16,4,2,0,W,1.2,0.4,10,3.8,10.4,4.4,2.4,0,8/20/2022,Aston Villa,1,1,13,5,14,2,1,0,L,1.8,1.2,12,4.6,11.6,4.2,1.6,0
22,8/20/2022,Everton,1,0,19,8,6,6,3,0,D,0.6,0,13.8,5.2,10,5.4,2.4,0,8/20/2022,Nott'm Forest,1,0,14,5,9,2,2,0,D,0.8,0.4,9,3.4,9.4,2.2,2.2,0
23,8/20/2022,Fulham,3,2,18,9,13,6,3,0,W,1,0.4,10.4,4.6,13,3.4,3.4,0,8/20/2022,Brentford,2,1,13,5,7,3,2,0,L,2.2,1.4,12.2,4.6,8.4,4.2,1.4,0
24,8/20/2022,Leicester,1,0,6,1,11,2,2,0,L,1.4,0.6,8.2,2.2,10.6,2.6,1.4,0,8/20/2022,Southampton,2,0,9,3,15,5,3,0,W,1,0.2,10.6,4,14.2,3,3.2,0
25,8/20/2022,Bournemouth,0,0,6,1,12,3,2,0,L,0.4,0,7.8,1.4,9.6,2.6,2.2,0,8/20/2022,Arsenal,3,2,14,6,10,4,1,0,W,2.4,1.2,14.6,4.6,9.4,5.6,0.8,0
26,8/21/2022,Leeds,3,2,12,6,16,4,0,0,W,1.6,0.6,11.4,4.2,13.6,5,2,0,8/21/2022,Chelsea,0,0,14,3,15,6,1,1,L,0.4,0.2,13.8,3.2,13.2,6.4,2.2,0.2
27,8/21/2022,West Ham,0,0,13,3,10,5,2,0,L,1,0.2,13.2,3,10.4,6.6,1,0,8/21/2022,Brighton,2,1,11,2,7,4,0,0,W,0.8,0.2,16.4,5.8,10.4,6.8,1.2,0
28,8/21/2022,Newcastle,3,2,12,6,14,5,4,0,D,1,0.8,10.6,4,8.8,4.8,2.6,0.2,8/21/2022,Man City,3,1,21,10,7,5,2,0,D,2.4,1.6,20.2,6.6,9,7.6,1.4,0
29,8/22/2022,Man United,2,1,12,4,11,6,3,0,W,1.8,0.6,18.2,5.6,10.2,5,1.8,0.2,8/22/2022,Liverpool,1,0,17,5,7,8,1,0,L,0.8,0,18,4.6,9.6,5.4,2.2,0.2
30,8/27/2022,Southampton,0,0,17,5,4,5,0,0,L,0.8,0,12.4,4,10.2,3.6,2,0,8/27/2022,Man United,1,0,11,6,14,3,3,0,W,1.4,0.4,15.2,5.2,11.2,4.4,2.4,0.2
31,8/27/2022,Brentford,1,0,19,5,8,8,2,0,D,2.2,1.4,14.2,5.2,8.2,5,1.4,0,8/27/2022,Everton,1,1,14,7,8,5,2,0,D,0.8,0.2,13.6,5.6,9.2,5.4,2.4,0
32,8/27/2022,Brighton,1,0,13,4,10,5,2,0,W,0.8,0.2,15.6,5.2,10.2,6.6,1.4,0,8/27/2022,Leeds,0,0,10,2,14,3,3,0,L,1.4,0.6,10.6,3.8,13.4,3.8,2.2,0
33,8/27/2022,Chelsea,2,0,7,3,10,3,1,1,W,0.8,0.2,11.8,2.8,12,5.4,1.8,0.4,8/27/2022,Leicester,1,0,17,5,7,11,2,0,L,1.6,0.6,7.8,2.6,10.2,3.6,1.4,0
34,8/27/2022,Liverpool,9,5,19,12,6,8,0,0,W,2.6,1,19.4,6.2,8,6.4,1.2,0.2,8/27/2022,Bournemouth,0,0,5,2,5,1,1,0,L,0.2,0,7.8,1.6,8.6,2.4,1.8,0
35,8/27/2022,Man City,4,0,18,5,14,6,1,0,W,3,1.4,18.6,6.4,10.6,6.8,1.6,0,8/27/2022,Crystal Palace,2,2,2,2,8,1,2,0,L,1.4,0.8,8.4,3.4,10.4,3.4,2.4,0
36,8/27/2022,Arsenal,2,0,22,8,6,9,2,0,W,2.6,1.2,17,5.8,8.8,5.8,1,0,8/27/2022,Fulham,1,0,11,3,12,2,3,0,L,1,0.4,11.6,4.8,12.6,3.4,3,0
37,8/28/2022,Aston Villa,0,0,9,3,10,3,2,0,L,1.4,0.8,12.4,4.2,11,4.4,1.6,0,8/28/2022,West Ham,1,0,7,2,10,2,0,0,W,1.2,0.2,13.4,3.2,10.4,5.6,0.8,0
