,team_1_Date,team_1_name,team_1_total_goals,team_1_half_time_goals,team_1_shots,team_1_shots_on_target,team_1_fouls,team_1_corners,team_1_yellows,team_1_reds,team_1_home_result,team_1_total_goals_per_match,team_1_half_time_goals_per_match,team_1_shots_per_match,team_1_shots_on_target_per_match,team_1_fouls_per_match,team_1_corners_per_match,team_1_yellows_per_match,team_1_reds_per_match,team_2_Date,team_2_name,team_2_total_goals,team_2_half_time_goals,team_2_shots,team_2_shots_on_target,team_2_fouls,team_2_corners,team_2_yellows,team_2_reds,team_2_away_result,team_2_total_goals_per_match,team_2_half_time_goals_per_match,team_2_shots_per_match,team_2_shots_on_target_per_match,team_2_fouls_per_match,team_2_corners_per_match,team_2_yellows_per_match,team_2_reds_per_match
0,8/5/2022,Crystal Palace,0,0,10,2,16,3,1,0,L,1.142857143,0.571428571,9.285714286,3.285714286,11.28571429,3.428571429,2,0,8/5/2022,Arsenal,2,1,10,2,11,5,2,0,W,2.428571429,1.142857143,16.71428571,5.714285714,9.285714286,6.285714286,1.285714286,0
1,8/6/2022,Fulham,2,1,9,3,7,4,2,0,D,1.285714286,0.428571429,11,4.285714286,11.28571429,3.428571429,2.714285714,0,8/6/2022,Liverpool,2,0,11,4,9,4,0,0,D,2.428571429,0.714285714,18.71428571,5.857142857,8.285714286,7,0.857142857,0.142857143
2,8/6/2022,Bournemouth,2,1,7,3,18,5,3,0,W,0.428571429,0.142857143,7.285714286,1.857142857,10.42857143,2.714285714,2,0,8/6/2022,Aston Villa,0,0,15,2,16,5,3,0,L,1.142857143,0.571428571,11.57142857,3.714285714,12.14285714,4.285714286,2,0
3,8/6/2022,Leeds,2,1,12,4,13,6,2,0,W,1.428571429,0.571428571,11.28571429,4,12.85714286,5,2.285714286,0,8/6/2022,Wolves,1,1,15,6,9,4,0,0,L,0.714285714,0.571428571,12.14285714,3.571428571,9.857142857,4,1.714285714,0
4,8/6/2022,Newcastle,2,0,23,10,9,11,0,0,W,1.142857143,0.571428571,12.42857143,4.428571429,9.142857143,6,1.857142857,0.142857143,8/6/2022,Nott'm Forest,0,0,5,0,14,1,3,0,L,0.428571429,0.285714286,10.14285714,2.571428571,10.14285714,2.714285714,2.857142857,0
5,8/6/2022,Tottenham,4,2,18,8,11,10,3,0,W,1.857142857,0.714285714,12.85714286,4.857142857,11.57142857,5.142857143,2.142857143,0.142857143,8/6/2022,Southampton,1,1,10,2,6,2,0,0,L,1,0.428571429,11.57142857,4.142857143,10.28571429,3.571428571,1.714285714,0
6,8/6/2022,Everton,0,0,8,4,14,4,3,0,L,0.714285714,0.285714286,11.85714286,4.857142857,9.857142857,4.714285714,2.571428571,0,8/6/2022,Chelsea,1,1,15,6,11,16,2,0,W,0.857142857,0.428571429,12,3.428571429,11.57142857,6.571428571,1.714285714,0.285714286
7,8/7/2022,Leicester,2,1,14,5,6,5,0,0,D,1.428571429,0.571428571,10.28571429,3,9.428571429,4.142857143,1.285714286,0,8/7/2022,Brentford,2,0,8,3,5,6,0,0,D,2,1,12.57142857,4.571428571,7.714285714,5.285714286,1.285714286,0
8,8/7/2022,Man United,1,0,17,5,7,6,4,0,L,1.571428571,0.428571429,17,5.571428571,10.28571429,4.857142857,2.285714286,0.142857143,8/7/2022,Brighton,2,2,15,4,12,2,1,0,W,1,0.428571429,14.28571429,4.857142857,10.57142857,5.428571429,1.285714286,0
9,8/7/2022,West Ham,0,0,6,1,8,1,0,0,L,1,0.142857143,12.42857143,3,10,4.571428571,0.857142857,0,8/7/2022,Man City,2,1,14,2,4,4,1,0,W,3.285714286,1.571428571,17.71428571,6.142857143,9.428571429,6.857142857,1.285714286,0
10,8/13/2022,Aston Villa,2,1,12,4,9,5,4,0,W,1.857142857,1,10.14285714,4.285714286,10.14285714,3.714285714,1.714285714,0,8/13/2022,Everton,1,0,15,4,7,8,1,0,L,0.571428571,0,10.42857143,3.714285714,11.71428571,4.428571429,2.571428571,0
11,8/13/2022,Arsenal,4,2,19,7,15,6,1,0,W,2.142857143,0.857142857,16,4.285714286,8.714285714,5.857142857,0.857142857,0,8/13/2022,Leicester,2,0,6,2,9,2,1,0,L,1.571428571,1,9.285714286,3,11.42857143,3.142857143,1.571428571,0
12,8/13/2022,Brighton,0,0,13,7,8,7,2,0,D,1.428571429,0.571428571,15.14285714,6.285714286,10.42857143,6.857142857,1.571428571,0,8/13/2022,Newcastle,0,0,4,1,6,3,3,0,D,1.285714286,0.857142857,10.85714286,4,8.428571429,5,1.714285714,0.142857143
13,8/13/2022,Man City,4,3,19,7,9,11,0,0,W,2.285714286,1.714285714,17.42857143,5.857142857,11.28571429,7.285714286,1.714285714,0,8/13/2022,Bournemouth,0,0,3,1,9,1,3,0,L,0.428571429,0.142857143,8.428571429,2.428571429,10.14285714,3.428571429,2.142857143,0
14,8/13/2022,Southampton,2,0,14,4,10,2,1,0,D,0.857142857,0.285714286,12,3.714285714,12.85714286,3.285714286,2.428571429,0,8/13/2022,Leeds,2,0,13,5,12,5,3,0,D,0.714285714,0.142857143,11,3.142857143,12.42857143,5,2.857142857,0
